element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
499,10,1,0,TRUE,2019-08-11T13:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,3183,0,0
499,17,14,0,FALSE,2019-08-17T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-120,4214,531,651
499,28,17,0,FALSE,2019-08-25T15:30:00Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-472,4024,236,708
499,38,18,0,TRUE,2019-08-31T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-218,4109,333,551
499,44,10,0,FALSE,2019-09-14T11:30:00Z,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-743,3419,133,876
499,58,4,0,TRUE,2019-09-21T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-354,3105,21,375
499,66,9,0,FALSE,2019-09-29T15:30:00Z,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-285,2828,13,298
499,76,12,0,TRUE,2019-10-06T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-160,2671,9,169
274,1,10,0,FALSE,2019-08-09T19:00:00Z,4,1,1,90,0,0,0,4,0,0,0,0,0,0,0,16,25.8,1.4,0.0,2.7,45,0,168643,0,0
274,17,13,1,TRUE,2019-08-17T14:00:00Z,3,1,2,90,0,0,0,1,0,0,0,1,0,0,0,7,4.2,14.2,18.0,3.6,45,-5400,172180,7470,12870
274,26,6,1,TRUE,2019-08-24T11:30:00Z,2,3,3,90,0,0,0,3,0,0,0,0,0,0,0,6,16.6,2.1,2.0,2.1,45,-10690,163903,7350,18040
274,40,19,0,FALSE,2019-08-31T14:00:00Z,2,0,4,90,0,0,0,2,0,0,0,1,0,0,0,11,11.8,12.3,20.0,4.4,45,-9359,156762,6793,16152
274,46,11,0,TRUE,2019-09-14T16:30:00Z,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-27168,129726,3047,30215
274,52,5,0,FALSE,2019-09-21T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-21884,108527,297,22181
274,64,7,1,FALSE,2019-09-28T14:00:00Z,2,0,7,90,0,0,0,2,0,0,0,0,0,0,0,11,13.0,4.4,10.0,2.7,44,-14629,94327,199,14828
274,77,2,0,TRUE,2019-10-05T14:00:00Z,1,5,8,90,0,0,0,5,0,0,0,0,0,0,0,7,0.2,14.0,20.0,3.4,44,-1982,93208,1608,3590
460,9,12,1,FALSE,2019-08-11T15:30:00Z,4,0,1,65,0,0,0,2,0,0,0,1,0,0,0,1,0.0,0.8,24.0,2.4,70,0,115213,0,0
